timestamp,,roll_input,pitch_input,measure_roll,measure_pitch
2042185,0,0,0,3.222471595,-6.239898695
2042195,10,0,0,3.269151187,-6.128944832
2042206,21,0,0,3.214612844,-6.084083223
2042216,31,0,0,3.234600653,-6.090004321
2042226,41,0,0,3.194087383,-6.143685551
2042236,51,0,0,3.219547032,-6.151171318
2042246,61,0,0,3.220230851,-6.167906626
2042256,71,0,0,3.21141233,-6.086461796
2042266,81,0,0,3.216467667,-5.971081969
2042287,102,0,0,3.201912003,-5.726375361
2042307,122,0,0,3.142299965,-5.697082419
2042317,132,0,0,3.369625495,-5.836882392
2042337,152,0,0,3.322681938,-5.832467225
2042347,162,0,0,3.346485709,-5.912483593
2042358,173,0,0,3.293047361,-5.885325973
2042368,183,0,0,3.32940193,-5.978546907
2042378,193,0,0,3.302791792,-5.999954875
2042378,193,0,0,3.302791792,-5.999954875
2042398,213,0,0,3.202173693,-6.009480423
2042408,223,0,0,3.230840244,-6.049641196
2042408,223,0,0,3.230840244,-6.049641196
2042429,244,0,0,3.203647585,-6.134924052
2042439,254,0,0,3.197161858,-6.224354159
2042449,264,0,0,3.182084665,-6.268915244
2042459,274,0,0,3.149181803,-6.198509863
2042469,284,0,0,3.102181595,-6.054227501
2042479,294,0,0,3.12371868,-6.11916939
2042489,304,0,0,3.196110466,-6.013580136
2042489,304,0,0,3.196110466,-6.013580136
2042510,325,0,0,3.163774281,-6.146209609
2042520,335,0,0,3.164781417,-6.04559537
2042520,335,0,0,3.164781417,-6.04559537
2042540,355,0,0,3.160203986,-6.040738345
2042550,365,0,0,3.07384485,-5.852984861
2042560,375,0,0,3.026918277,-5.634128829
2042570,385,0,0,2.99724409,-5.579943933
2042581,396,0,0,3.121142289,-5.592908518
2042591,406,0,0,3.112317213,-5.560131468
2042601,416,0,0,3.040211912,-5.633471335
2042611,426,0,0,3.113196185,-5.620091327
2042621,436,0,0,3.161859923,-5.706729485
2042631,446,0,0,3.125171575,-5.677323541
2042652,467,0,0,3.207019734,-5.868245715
2042662,477,0,0,3.18859041,-5.944429545
2042672,487,0,0,3.122516047,-5.923627427
2042682,497,0,0,3.134914814,-5.826358846
2042692,507,0,0,3.119232875,-5.844536738
2042702,517,0,0,3.174908705,-5.831640176
2042702,517,0,0,3.174908705,-5.831640176
2042722,537,0,0,3.100627463,-5.756621129
2042722,537,0,0,3.100627463,-5.756621129
2042743,558,0,0,3.103525008,-5.926165437
2042753,568,0,0,3.062004316,-5.784778019
2042753,568,0,0,3.062004316,-5.784778019
2042773,588,0,0,3.174459947,-5.758048116
2042783,598,0,0,3.34776335,-5.827211228
2042793,608,0,0,3.280640078,-5.774341828
2042804,619,0,0,3.287829201,-5.766061887
2042824,639,0,0,3.196813423,-5.874219772
2042834,649,0,0,3.25996405,-5.761194642
2042844,659,0,0,3.18201189,-5.7279589
2042854,669,0,0,3.197545172,-5.726906278
2042864,679,0,0,3.218934972,-5.88114197
2042875,690,0,0,3.153836838,-5.904190091
2042895,710,0,0,3.203583296,-5.708656154
