timestamp,,e_point,n_point,e_cur,n_cur,,,Cur_head,Head_ref,Head_command
1.66E+12,0,0,0,0,0,0,0,0,0,0
1.66E+12,112.0300293,0,0,1.993,0.318,0,0,96.78158569,0,0
1.66E+12,212.4899902,0,0,1.993,0.318,0,0,96.64658356,0,0
1.66E+12,313.1699219,0,0,1.994,0.325,0.009932466,0.069527262,96.25230408,0,0
1.66E+12,413.5700684,0,0,1.993,0.338,-0.009960145,0.129481883,95.87934113,0,0
1.66E+12,514.4699707,0,0,1.993,0.338,0,0,95.53363037,0,0
1.66E+12,614.8901367,0,0,1.992,0.347,-0.009958159,0.089623433,95.10437012,0,0
1.66E+12,715.5900879,0,0,1.991,0.35,-0.009930491,0.029791474,94.88236237,0,0
1.66E+12,816,0,0,1.991,0.35,0,0,94.93094635,0,0
1.66E+12,917.1999512,0,0,1.99,0.342,-0.009881428,-0.079051422,95.11523438,0,0
1.66E+12,1018.380127,0,0,1.99,0.342,0,0,95.34771729,0,0
1.66E+12,1118.840088,0,0,1.99,0.328,0,-0.139359003,95.59937286,0,0
1.66E+12,1219.880127,0,0,1.99,0.313,0,-0.148456,95.96465302,0,0
1.66E+12,1322.75,0,0,1.99,0.313,0,0,96.31731415,0,0
1.66E+12,1423.199951,0,0,1.991,0.3,0.009955206,-0.129417684,96.67735291,0,0
1.66E+12,1524.030029,0,0,1.991,0.298,0,-0.019835351,96.92800903,0,0
1.66E+12,1627.070068,0,0,1.991,0.298,0,0,97.27476501,0,0
1.66E+12,1727.76001,0,0,1.991,0.304,0,0.059588871,97.43132782,0,0
1.66E+12,1828.209961,0,0,1.991,0.304,0,0,97.63406372,0,0
1.66E+12,1928.97998,0,0,1.991,0.312,0,0.079388692,97.75350189,0,0
1.66E+12,2030.100098,0,0,1.991,0.321,0,0.089003061,97.89874268,0,0
1.66E+12,2130.669922,0,0,1.991,0.321,0,0,98.05419159,0,0
1.66E+12,2231.419922,0,0,1.991,0.323,0,0.019851117,98.24517059,0,0
1.66E+12,2331.719971,0,0,1.992,0.321,0.009970085,-0.01994017,98.35915375,0,0
1.66E+12,2432.98999,0,0,1.992,0.321,0,0,98.51648712,0,0
1.66E+12,2533.360107,0,0,1.993,0.316,0.009963125,-0.049815624,98.58957672,0,0
1.66E+12,2633.810059,0,0,1.993,0.316,0,0,98.63159943,0,0
1.66E+12,2734.330078,0,0,1.994,0.312,0.009948267,-0.039793068,98.62189484,0,0
1.66E+12,2834.900146,0,0,1.994,0.313,0,0.009943316,98.59708405,0,0
1.66E+12,2935.320068,0,0,1.994,0.313,0,0,98.55052185,0,0
1.66E+12,3036.410156,0,0,1.994,0.317,0,0.039568667,98.52827454,0,0
1.66E+12,3136.880127,0,0,1.994,0.322,0,0.049766114,98.52767944,0,0
1.66E+12,3237.390137,0,0,1.994,0.322,0,0,98.52767944,0,0
1.66E+12,3337.780029,0,0,1.994,0.324,0,0.019922324,98.67118835,0,0
1.66E+12,3438.219971,0,0,1.994,0.324,0,0,98.78926086,0,0
1.66E+12,3539.25,0,0,1.995,0.323,0.009898047,-0.009898047,99.01945496,0,0
1.66E+12,3640.900146,0,0,1.995,0.319,0,-0.039350657,99.23226166,0,0
1.66E+12,3741.219971,0,0,1.995,0.319,0,0,99.47361755,0,0
1.66E+12,3848,0,0,1.996,0.314,0.009365047,-0.046825235,99.74017334,0,0
1.66E+12,3948.429932,0,0,1.996,0.31,0,-0.039828763,99.99099731,0,0
1.66E+12,4048.860107,0,0,1.996,0.31,0,0,100.2406311,0,0
1.66E+12,4149.23999,0,0,1.983,0.303,-0.129508021,-0.069735088,100.4765854,0,0
1.66E+12,4249.640137,0,0,2.007,0.312,0.239043475,0.089641303,100.6698608,0,0
1.66E+12,4350.199951,0,0,2.007,0.312,0,0,101.0088272,0,0
1.66E+12,4450.570068,0,0,2.023,0.317,0.159409997,0.049815624,101.322403,0,0
1.66E+12,4550.97998,0,0,2.023,0.317,0,0,101.6204529,0,0
1.66E+12,4651.540039,0,0,2.03,0.319,0.069610142,0.019888612,101.9310303,0,0
1.66E+12,4752,0,0,2.028,0.318,-0.019908429,-0.009954214,102.2099838,0,0
1.66E+12,4852.860107,0,0,2.028,0.318,0,0,102.4929504,0,0
1.66E+12,4953.23999,0,0,2.02,0.317,-0.079697244,-0.009962155,102.7510986,0,0
1.66E+12,5053.570068,0,0,2.003,0.313,-0.169440713,-0.039868403,102.9827347,0,0
1.66E+12,5154.780029,0,0,2.003,0.313,0,0,103.2787704,0,0
1.66E+12,5255.290039,0,0,1.978,0.304,-0.248731445,-0.08954332,103.5336075,0,0
1.66E+12,5356.169922,0,0,1.978,0.304,0,0,103.7900772,0,0
1.66E+12,5456.860107,0,0,1.992,0.308,0.139040364,0.039725818,103.9564819,0,0
1.66E+12,5557.310059,0,0,1.993,0.307,0.009955206,-0.009955206,104.1700363,0,0
1.66E+12,5657.72998,0,0,1.993,0.307,0,0,104.2502518,0,0
1.66E+12,5758.02002,0,0,1.994,0.306,0.00997108,-0.00997108,104.411911,0,0
1.66E+12,5858.459961,0,0,1.995,0.307,0.009956199,0.009956199,104.5543518,0,0
1.66E+12,5958.840088,0,0,1.995,0.307,0,0,104.7645569,0,0
1.66E+12,6059.140137,0,0,1.997,0.31,0.01994017,0.029910255,104.9262848,0,0
1.66E+12,6159.600098,0,0,1.997,0.31,0,0,104.9904175,0,0
1.66E+12,6259.910156,0,0,1.999,0.316,0.01993818,0.05981454,105.0210266,0,0
1.66E+12,6360.209961,0,0,2,0.32,0.009970109,0.039880436,105.0500412,0,0
1.66E+12,6460.820068,0,0,2,0.32,0,0,104.9877625,0,0
1.66E+12,6561.130127,0,0,2,0.324,0,0.03987636,104.92836,0,0
1.66E+12,6661.77002,0,0,2,0.326,0,0.019872835,104.8475189,0,0
1.66E+12,6763.060059,0,0,2,0.326,0,0,104.7490692,0,0
1.66E+12,6863.669922,0,0,1.998,0.327,-0.019878767,0.009939383,104.703392,0,0
1.66E+12,6964.150146,0,0,1.998,0.327,0,0,104.6386032,0,0
1.66E+12,7065.429932,0,0,1.996,0.326,-0.019747277,-0.009873639,104.6085815,0,0
1.66E+12,7165.840088,0,0,1.994,0.324,-0.019918304,-0.019918304,104.6139603,0,0
1.66E+12,7266.23999,0,0,1.994,0.324,0,0,104.5875015,0,0
1.66E+12,7366.590088,0,0,1.994,0.325,0,0.009965112,104.6287994,0,0
1.66E+12,7466.939941,0,0,1.994,0.327,0,0.019930273,104.6682434,0,0
1.66E+12,7567.23999,0,0,1.994,0.327,0,0,104.6280823,0,0
1.66E+12,7667.580078,0,0,1.995,0.331,0.009966106,0.039864426,104.5440521,0,0
1.66E+12,7767.929932,0,0,1.995,0.331,0,0,104.4697189,0,0
1.66E+12,7868.410156,0,0,1.997,0.335,0.019904414,0.039808828,104.2562561,0,0
1.66E+12,7968.709961,0,0,1.999,0.34,0.019940218,0.049850546,104.0441437,0,0
1.66E+12,8069.02002,0,0,1.999,0.34,0,0,103.8258896,0,0
1.66E+12,8169.449951,0,0,1.999,0.34,0,0,103.7816925,0,0
1.66E+12,8269.850098,0,0,1.999,0.34,0,0,103.7816925,0,0
1.66E+12,8370.22998,0,0,2,0.345,0.009962156,0.049810778,103.7816925,0,0
1.66E+12,8470.600098,0,0,1.999,0.344,-0.009963125,-0.009963125,103.0697021,0,0
1.66E+12,8571.209961,0,0,1.997,0.346,-0.019878767,0.019878767,102.6328659,0,0
1.66E+12,8671.780029,0,0,1.997,0.346,0,0,102.0776291,0,0
1.66E+12,8772.410156,0,0,1.994,0.347,-0.029812146,0.009937382,101.6445694,0,0
1.66E+12,8872.790039,0,0,1.994,0.347,0,0,101.1055527,0,0
1.66E+12,8973.23999,0,0,1.991,0.346,-0.029865619,-0.009955206,100.6377716,0,0
1.66E+12,9073.679932,0,0,1.989,0.345,-0.019912397,-0.009956199,100.2419434,0,0
1.66E+12,9179.179932,0,0,1.989,0.345,0,0,99.81391144,0,0
1.66E+12,9280.840088,0,0,1.988,0.341,-0.009836696,-0.039346782,99.44960022,0,0
1.66E+12,9381.949951,0,0,1.988,0.335,0,-0.059341392,99.21759796,0,0
1.66E+12,9482.26001,0,0,1.988,0.335,0,0,99.10531616,0,0
1.66E+12,9582.699951,0,0,1.988,0.327,0,-0.079649589,99.04345703,0,0
1.66E+12,9683.160156,0,0,1.988,0.327,0,0,98.95423889,0,0
1.66E+12,9783.570068,0,0,1.988,0.323,0,-0.039836705,98.89963531,0,0
1.66E+12,9884.25,0,0,1.988,0.323,0,0,98.8270874,0,0
1.66E+12,9985.310059,0,0,1.988,0.323,0,0,98.46618652,0,0
1.66E+12,10085.71997,0,0,1.988,0.327,0,0.039836705,98.16850281,0,0
1.66E+12,10186.04004,0,0,1.988,0.335,0,0.079744761,97.69965363,0,0
1.66E+12,10286.3501,0,0,1.988,0.335,0,0,97.18628693,0,0
1.66E+12,10386.66016,0,0,1.988,0.345,0,0.099690898,96.72891998,0,0
1.66E+12,10487.31006,0,0,1.988,0.345,0,0,96.41532898,0,0
1.66E+12,10588.13013,0,0,1.989,0.353,0.00991866,0.07934928,96.04389191,0,0
1.66E+12,10688.39014,0,0,1.989,0.357,0,0.039896266,95.81483459,0,0
1.66E+12,10788.77002,0,0,1.989,0.357,0,0,95.68920135,0,0
1.66E+12,10889.12012,0,0,1.99,0.356,0.009965112,-0.009965112,95.69944763,0,0
1.66E+12,10989.43994,0,0,1.989,0.355,-0.00996812,-0.00996812,95.77233887,0,0
1.66E+12,11089.97998,0,0,1.989,0.355,0,0,95.94700623,0,0
1.66E+12,11190.34009,0,0,1.989,0.353,0,-0.019928236,96.2629776,0,0
1.66E+12,11290.67993,0,0,1.989,0.353,0,0,96.23969269,0,0
1.66E+12,11391.30005,0,0,1.988,0.351,-0.00993837,-0.01987674,96.10679626,0,0
1.66E+12,11491.92993,0,0,1.988,0.348,0,-0.029812219,96.52589417,0,0
1.66E+12,11593.06006,0,0,1.988,0.348,0,0,96.60947418,0,0
1.66E+12,11693.64014,0,0,1.988,0.344,0,-0.039769306,96.65792847,0,0
1.66E+12,11794.84009,0,0,1.988,0.339,0,-0.049407139,96.95210266,0,0
1.66E+12,11895.92993,0,0,1.988,0.339,0,0,97.20126343,0,0
1.66E+12,11996.66992,0,0,1.988,0.334,0,-0.049632723,97.42071533,0,0
1.66E+12,12100.51001,0,0,1.988,0.334,0,0,97.69488525,0,0
1.66E+12,12201.03003,0,0,1.989,0.331,0.009948267,-0.029844801,97.71620941,0,0
1.66E+12,12302.22998,0,0,1.976,0.336,-0.128458561,0.049407139,97.87285614,0,0
1.66E+12,12402.64014,0,0,1.976,0.336,0,0,97.74820709,0,0
1.66E+12,12503.06006,0,0,2.001,0.342,0.24895459,0.059749102,97.6545105,0,0
1.66E+12,12603.6001,0,0,2.017,0.354,0.159140577,0.119355433,97.47271729,0,0
1.66E+12,12704.17993,0,0,2.017,0.354,0,0,97.2894516,0,0
1.66E+12,12804.94995,0,0,2.023,0.37,0.059541518,0.158777382,97.45597076,0,0
1.66E+12,12905.71997,0,0,2.022,0.387,-0.009923586,0.168700969,97.62815094,0,0
1.66E+12,13006.11011,0,0,2.022,0.387,0,0,97.9430542,0,0
1.66E+12,13106.48999,0,0,2.012,0.403,-0.099621558,0.159394492,97.81567383,0,0
1.66E+12,13206.84009,0,0,2.012,0.403,0,0,97.90555573,0,0
1.66E+12,13307.15015,0,0,1.995,0.419,-0.169474527,0.159505437,97.86817169,0,0
1.66E+12,13407.57007,0,0,1.97,0.433,-0.24895459,0.13941457,97.75046539,0,0
1.66E+12,13508.08008,0,0,1.97,0.433,0,0,97.47714996,0,0
1.66E+12,13611.17993,0,0,1.985,0.44,0.145490027,0.067895346,97.29051971,0,0
1.66E+12,13712.14014,0,0,1.987,0.444,0.019809784,0.039619569,97.18775177,0,0
1.66E+12,13812.41016,0,0,1.987,0.444,0,0,97.17417145,0,0
1.66E+12,13912.90015,0,0,1.988,0.443,0.00995124,-0.00995124,97.2290802,0,0
1.66E+12,14013.34009,0,0,1.988,0.443,0,0,97.26584625,0,0
1.66E+12,14113.98999,0,0,1.988,0.439,0,-0.039741719,97.38135529,0,0
1.66E+12,14214.33008,0,0,1.988,0.437,0,-0.019932213,97.53373718,0,0
1.66E+12,14314.87012,0,0,1.988,0.437,0,0,97.51235962,0,0
1.66E+12,14415.29004,0,0,1.986,0.44,-0.019916367,0.029874551,97.58446503,0,0
1.66E+12,14515.76001,0,0,1.985,0.448,-0.009953223,0.079625783,97.60316467,0,0
1.66E+12,14616.56006,0,0,1.985,0.448,0,0,97.57516479,0,0
1.66E+12,14717.08008,0,0,1.985,0.464,0,0.159172272,97.55625916,0,0
1.66E+12,14817.42993,0,0,1.985,0.464,0,0,97.61613464,0,0
1.66E+12,14917.80005,0,0,1.984,0.484,-0.009963124,0.19926249,97.70743561,0,0
1.66E+12,15018.14014,0,0,1.983,0.506,-0.009966106,0.219254338,97.82628632,0,0
1.66E+12,15118.5,0,0,1.983,0.506,0,0,98.04496002,0,0
1.66E+12,15219.01001,0,0,1.982,0.526,-0.009949258,0.198985156,98.30677795,0,0
1.66E+12,15319.31006,0,0,1.982,0.544,0,0.179461526,98.54689789,0,0
1.66E+12,15419.76001,0,0,1.982,0.544,0,0,98.78908539,0,0
1.66E+12,15520.26001,0,0,1.981,0.559,-0.009950249,0.149253731,99.28022003,0,0
1.66E+12,15620.69995,0,0,1.981,0.559,0,0,99.61660004,0,0
1.66E+12,15721.14014,0,0,1.98,0.571,-0.009956174,0.119474087,99.62776184,0,0
1.66E+12,15821.44995,0,0,1.98,0.579,0,0.079752917,99.75745392,0,0
1.66E+12,15921.72998,0,0,1.98,0.579,0,0,99.88887787,0,0
1.66E+12,16022.22998,0,0,1.98,0.584,0,0.049751244,99.68455505,0,0
1.66E+12,16122.58008,0,0,1.98,0.587,0,0.029895336,99.71099854,0,0
1.66E+12,16223.14014,0,0,1.98,0.587,0,0,99.7468338,0,0
1.66E+12,16325.79004,0,0,1.981,0.586,0.009741851,-0.009741851,99.78408813,0,0
1.66E+12,16426.31006,0,0,1.981,0.586,0,0,99.73880005,0,0
1.66E+12,16526.64014,0,0,1.982,0.583,0.009967101,-0.029901302,99.78603363,0,0
1.66E+12,16628.07007,0,0,1.981,0.583,-0.009859023,0,99.83065033,0,0
1.66E+12,16728.55005,0,0,1.981,0.583,0,0,99.82780457,0,0
1.66E+12,16829.19995,0,0,1.981,0.585,0,0.019870859,100.0451813,0,0
1.66E+12,16930.96997,0,0,1.981,0.59,0,0.049130382,100.1120605,0,0
1.66E+12,17031.33008,0,0,1.981,0.59,0,0,100.3248749,0,0
1.66E+12,17134.04004,0,0,1.981,0.601,0,0.107097695,100.1771393,0,0
1.66E+12,17235.98999,0,0,1.981,0.601,0,0,100.3684387,0,0
1.66E+12,17336.71997,0,0,1.982,0.617,0.009927531,0.158840496,100.5000458,0,0
1.66E+12,17437.11011,0,0,1.983,0.635,0.009961138,0.179300477,100.5959549,0,0
1.66E+12,17537.55005,0,0,1.983,0.635,0,0,100.7003326,0,0
1.66E+12,17637.94995,0,0,1.984,0.654,0.009960169,0.189243216,100.9646149,0,0
1.66E+12,17738.36011,0,0,1.984,0.673,0,0.189223879,101.2189713,0,0
1.66E+12,17840.39014,0,0,1.984,0.673,0,0,101.7861481,0,0
1.66E+12,17940.84009,0,0,1.983,0.692,-0.009955207,0.189148924,102.0861282,0,0
1.66E+12,18041.68994,0,0,1.982,0.707,-0.009915731,0.148735967,102.1954041,0,0
1.66E+12,18142.16016,0,0,1.982,0.707,0,0,102.1841125,0,0
1.66E+12,18242.75,0,0,1.98,0.719,-0.019882724,0.119296342,102.1928711,0,0
1.66E+12,18343.13013,0,0,1.98,0.719,0,0,102.1013794,0,0
1.66E+12,18443.89014,0,0,1.979,0.728,-0.009924572,0.08932115,102.0750732,0,0
1.66E+12,18544.42993,0,0,1.978,0.734,-0.009946311,0.059677865,101.867012,0,0
1.66E+12,18645.23999,0,0,1.978,0.734,0,0,101.5131149,0,0
1.66E+12,18747.06006,0,0,1.978,0.737,0,0.029463739,101.5056534,0,0
1.66E+12,18847.73999,0,0,1.978,0.738,0,0.009932466,101.3086014,0,0
1.66E+12,18948.53003,0,0,1.978,0.738,0,0,101.1160202,0,0
1.66E+12,19049.44995,0,0,1.977,0.739,-0.009908847,0.009908847,100.9955292,0,0
1.66E+12,19150.16016,0,0,1.977,0.739,0,0,100.9025726,0,0
